Specialty,CPT Code,PPL?,decision by ROI,decision source,clinical reason,final decision,new rate
FACILITY SERVICES,83727,1,0,rule,Hard Pend Specialty,0,
FACILITY SERVICES,83785,0,1,rule,Pend EPL,0,
LABORATORY,83785,0,1,rule,Pend EPL,0,
LABORATORY,83785,1,1,rule,low volume,0,
FACILITY SERVICES,83789,0,0,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,83789,0,1,rule,Pend EPL,0,
LABORATORY,83789,0,1,rule,Pend EPL,0,0
LABORATORY,83789,1,1,rule,low volume,0,0
FACILITY SERVICES,83864,0,0,rule,Pend EPL,0,
LABORATORY,83864,0,0,rule,Pend EPL,0,
LABORATORY,83864,1,0,rule,low volume,0,
FACILITY SERVICES,83873,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,83883,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,83883,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,83883,0,1,rule,Pend EPL,0,0
LABORATORY,83883,1,1,rule,low volume,0,
SURGERY - GENERAL,83883,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,83885,0,0,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,83885,0,0,rule,Pend EPL,0,
FACILITY SERVICES,83916,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,83918,0,0,rule,Pend EPL,0,
LABORATORY,83918,0,0,rule,Pend EPL,0,
LABORATORY,83918,1,0,rule,low volume,0,
FACILITY SERVICES,83919,0,1,rule,Pend EPL,0,
LABORATORY,83919,0,1,rule,Pend EPL,0,0
LABORATORY,83919,1,1,rule,low volume,0,0
FACILITY SERVICES,83937,0,1,rule,Pend EPL,0,
LABORATORY,83937,0,1,rule,Pend EPL,0,
LABORATORY,83937,1,1,rule,low volume,0,
FACILITY SERVICES,83945,0,1,rule,Pend EPL,0,
LABORATORY,83945,0,1,rule,Pend EPL,0,0
LABORATORY,83945,1,1,rule,low volume,0,0
UROLOGY,83945,0,1,rule,Pend EPL,0,
FACILITY SERVICES,83950,0,0,rule,Pend EPL,0,
FACILITY SERVICES,84060,0,0,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,84060,0,0,rule,Pend EPL,0,0
LABORATORY,84060,0,0,rule,Pend EPL,0,
LABORATORY,84060,1,0,rule,low volume,0,
ONCOLOGY - MEDICAL,84060,0,0,rule,Pend EPL,0,
UNK PHYS SPEC,84060,0,0,rule,Pend EPL,0,
FACILITY SERVICES,84112,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84132,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,84132,0,1,rule,Pend EPL,0,
LABORATORY,84132,0,1,rule,Pend EPL,0,
LABORATORY,84132,1,1,rule,low volume,0,
PATHOLOGY,84132,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,84134,0,1,rule,Pend EPL,0,
GENETICS,84134,0,1,rule,Pend EPL,0,
LABORATORY,84134,0,1,rule,Pend EPL,0,
LABORATORY,84134,1,1,rule,low volume,0,
PATHOLOGY,84134,1,1,rule,Hard Pend Specialty,0,
UNK PHYS SPEC,84134,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84145,1,1,rule,Hard Pend Specialty,0,
LABORATORY,84145,1,1,rule,low volume,0,
FACILITY SERVICES,84150,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,84154,0,1,rule,Pend EPL,0,
LABORATORY,84154,0,1,rule,Pend EPL,0,
LABORATORY,84154,1,1,rule,low volume,0,
PATHOLOGY,84154,0,1,rule,Pend EPL,0,
RADIATION ONCOLOGY,84154,0,1,rule,Pend EPL,0,
UROLOGY,84154,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84155,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84155,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,84155,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84155,0,1,rule,Pend EPL,0,0
LABORATORY,84155,0,1,rule,Pend EPL,0,
LABORATORY,84155,1,1,rule,low volume,0,0
NEPHROLOGY,84155,0,1,rule,Pend EPL,0,
NEUROLOGY,84155,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,84155,0,1,rule,Pend EPL,0,0
UNK PHYS SPEC,84155,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84156,0,1,rule,Pend EPL,0,0
FAMILY PRACTICE,84156,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84156,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84156,1,1,rule,low volume,0,
LABORATORY,84156,0,1,rule,Pend EPL,0,
LABORATORY,84156,1,1,rule,low volume,0,
NEPHROLOGY,84156,0,1,rule,Pend EPL,0,0
NURSING,84156,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,84156,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,84156,0,1,rule,Pend EPL,0,
UROLOGY,84156,1,1,rule,low volume,0,0
FACILITY SERVICES,84157,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84157,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,84157,0,1,rule,Pend EPL,0,
INTERVENTIONAL RADIOLOGY,84157,1,1,rule,low volume,0,0
LABORATORY,84157,1,1,rule,low volume,0,
RADIOLOGY_b,84157,0,1,rule,Pend EPL,0,
UROLOGY,84157,1,1,rule,low volume,0,
FACILITY SERVICES,84165,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84165,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,84165,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84165,0,1,rule,Pend EPL,0,0
LABORATORY,84165,0,1,rule,Pend EPL,0,
LABORATORY,84165,1,1,rule,low volume,0,0
SURGERY - GENERAL,84165,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84166,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,84166,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84166,1,1,rule,low volume,0,
LABORATORY,84166,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84181,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,84182,0,0,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,84182,0,1,rule,Pend EPL,0,0
LABORATORY,84182,0,1,rule,Pend EPL,0,0
LABORATORY,84182,1,1,rule,low volume,0,0
SURGERY - GENERAL,84182,0,1,rule,Pend EPL,0,
UROLOGY,84182,1,1,rule,low volume,0,
FACILITY SERVICES,84220,1,0,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,84220,0,0,rule,Pend EPL,0,
FACILITY SERVICES,84244,0,1,rule,Pend EPL,0,
LABORATORY,84244,0,1,rule,Pend EPL,0,
LABORATORY,84244,1,1,rule,low volume,0,
FACILITY SERVICES,84295,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84295,0,1,rule,Pend EPL,0,
LABORATORY,84295,0,1,rule,Pend EPL,0,
LABORATORY,84295,1,1,rule,low volume,0,
NEPHROLOGY,84295,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84311,0,1,rule,Pend EPL,0,
LABORATORY,84311,0,1,rule,Pend EPL,0,
PATHOLOGY,84311,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84378,1,1,rule,Hard Pend Specialty,0,
LABORATORY,84378,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84402,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84402,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,84402,0,1,rule,Pend EPL,0,0
LABORATORY,84402,0,1,rule,Pend EPL,0,
LABORATORY,84402,1,1,rule,low volume,0,0
NURSING,84402,0,1,rule,Pend EPL,0,
OBSTETRICS/GYNECOLOGY,84402,0,1,rule,Pend EPL,0,
ONCOLOGY - MEDICAL,84402,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,84402,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,84402,0,1,rule,Pend EPL,0,
UROLOGY,84402,1,1,rule,low volume,0,
FACILITY SERVICES,84410,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84410,0,1,rule,Pend EPL,0,
LABORATORY,84410,0,1,rule,Pend EPL,0,
LABORATORY,84410,1,1,rule,low volume,0,
FACILITY SERVICES,84446,0,1,rule,Pend EPL,0,0
LABORATORY,84446,0,1,rule,Pend EPL,0,
LABORATORY,84446,1,1,rule,low volume,0,
PULMONARY DISEASE,84446,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84466,0,1,rule,Pend EPL,0,
LABORATORY,84466,0,1,rule,Pend EPL,0,
LABORATORY,84466,1,1,rule,low volume,0,
PULMONARY DISEASE,84466,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,84466,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84484,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84484,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,84484,0,1,rule,Pend EPL,0,0
LABORATORY,84484,0,1,rule,Pend EPL,0,
PATHOLOGY,84484,0,1,rule,Pend EPL,0,
PATHOLOGY,84484,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,84590,0,1,rule,Pend EPL,0,
LABORATORY,84590,0,1,rule,Pend EPL,0,
LABORATORY,84590,1,1,rule,low volume,0,
PULMONARY DISEASE,84590,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84591,0,1,rule,Pend EPL,0,
LABORATORY,84591,0,1,rule,Pend EPL,0,
LABORATORY,84591,1,1,rule,low volume,0,
PULMONARY DISEASE,84591,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84630,0,1,rule,Pend EPL,0,
GENETICS,84630,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84630,0,1,rule,Pend EPL,0,
LABORATORY,84630,0,1,rule,Pend EPL,0,
LABORATORY,84630,1,1,rule,low volume,0,
PULMONARY DISEASE,84630,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,84630,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84681,0,1,rule,Pend EPL,0,0
LABORATORY,84681,0,1,rule,Pend EPL,0,
NURSING,84681,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84702,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,84702,1,1,rule,Hard Pend Specialty,0,0
HEMATOLOGY/ONCOLOGY,84702,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,84702,1,1,rule,low volume,0,
INFERTILITY,84702,0,1,rule,Pend EPL,0,
INFERTILITY,84702,1,1,rule,Hard Pend Specialty,0,
LABORATORY,84702,0,1,rule,Pend EPL,0,
LABORATORY,84702,1,1,rule,low volume,0,0
NURSING,84702,0,1,rule,Pend EPL,0,0
OBSTETRICS/GYNECOLOGY,84702,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,84702,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,84702,0,1,rule,Pend EPL,0,
UROLOGY,84702,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84704,0,0,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,84704,0,0,rule,Pend EPL,0,
LABORATORY,84704,0,0,rule,Pend EPL,0,
LABORATORY,84704,1,0,rule,low volume,0,
ONCOLOGY - GYN,84704,0,0,rule,Pend EPL,0,
FACILITY SERVICES,84999,0,1,rule,Pend EPL,0,
FACILITY SERVICES,84999,1,1,rule,Hard Pend Specialty,0,
GASTROENTEROLOGY,84999,0,1,rule,Pend EPL,0,
GENETICS,84999,0,0,rule,Pend EPL,0,
LABORATORY,84999,0,0,rule,Pend EPL,0,
LABORATORY,84999,1,0,DBA,,0,0
OPHTHALMOLOGY,84999,0,1,rule,Pend EPL,0,
PATHOLOGY,84999,1,0,rule,Hard Pend Specialty,0,0
PHARMACY,84999,1,1,rule,Hard Pend Specialty,0,
UROLOGY,84999,1,1,rule,low volume,0,
FACILITY SERVICES,85002,0,0,rule,Pend EPL,0,
FACILITY SERVICES,85002,1,0,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,85002,0,0,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85002,0,0,rule,Pend EPL,0,0
INTERNAL MEDICINE,85002,1,0,rule,low volume,0,
NEPHROLOGY,85002,0,0,rule,Pend EPL,0,
RADIATION ONCOLOGY,85002,0,0,rule,Pend EPL,0,
FACILITY SERVICES,85004,0,1,rule,Pend EPL,0,
LABORATORY,85004,1,1,rule,low volume,0,
UNK PHYS SPEC,85004,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85007,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85007,1,1,rule,Hard Pend Specialty,0,0
HEMATOLOGY/ONCOLOGY,85007,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,85007,1,1,rule,low volume,0,
LABORATORY,85007,0,1,rule,Pend EPL,0,0
LABORATORY,85007,1,1,rule,low volume,0,0
PATHOLOGY,85007,0,1,rule,Pend EPL,0,
PEDIATRICS,85007,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,85007,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85008,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85014,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85014,1,1,rule,Hard Pend Specialty,0,
FAMILY PRACTICE,85014,0,1,rule,Pend EPL,0,
LABORATORY,85014,0,1,rule,Pend EPL,0,
LABORATORY,85014,1,1,rule,low volume,0,
NEPHROLOGY,85014,0,1,rule,Pend EPL,0,
URGENT/IMMEDIATE CARE,85014,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85018,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85018,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,85018,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,85018,0,1,rule,Pend EPL,0,
LABORATORY,85018,1,1,rule,low volume,0,0
NEPHROLOGY,85018,0,1,rule,Pend EPL,0,0
NEPHROLOGY,85018,1,1,rule,low volume,0,
OBSTETRICS/GYNECOLOGY,85018,0,1,rule,Pend EPL,0,
PEDIATRICS,85018,0,1,rule,Pend EPL,0,
PULMONARY DISEASE,85018,0,1,rule,Pend EPL,0,0
SURGERY - THORACIC,85018,0,1,rule,Pend EPL,0,
SURGERY - THORACIC,85018,1,1,rule,low volume,0,
URGENT/IMMEDIATE CARE,85018,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85032,0,0,rule,Pend EPL,0,
LABORATORY,85032,1,0,rule,low volume,0,
FACILITY SERVICES,85044,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85044,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,85044,1,1,clinical,inappropriate loc,0,0
LABORATORY,85044,0,1,rule,Pend EPL,0,
LABORATORY,85044,1,1,rule,low volume,0,0
NEPHROLOGY,85044,0,1,rule,Pend EPL,0,
PEDIATRICS,85044,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85044,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85045,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85045,0,1,rule,Pend EPL,0,0
LABORATORY,85045,0,1,rule,Pend EPL,0,
LABORATORY,85045,1,1,rule,low volume,0,0
NEPHROLOGY,85045,0,1,rule,Pend EPL,0,
PHARMACY,85045,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,85046,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85046,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,85049,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85049,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,85049,0,1,rule,Pend EPL,0,
LABORATORY,85049,0,1,rule,Pend EPL,0,
LABORATORY,85049,1,1,rule,low volume,0,0
NEPHROLOGY,85049,0,1,rule,Pend EPL,0,
PHARMACY,85049,1,1,rule,Hard Pend Specialty,0,
UNK PHYS SPEC,85049,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85060,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85060,1,1,rule,Hard Pend Specialty,0,0
HEMATOLOGY/ONCOLOGY,85060,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85060,1,1,rule,low volume,0,0
LABORATORY,85060,0,1,rule,Pend EPL,0,
PATHOLOGY,85060,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,85097,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,85097,1,1,rule,Hard Pend Specialty,0,0
HEMATOLOGY/ONCOLOGY,85097,0,1,rule,Pend EPL,0,0
LABORATORY,85097,0,1,rule,Pend EPL,0,
LABORATORY,85097,1,1,rule,low volume,0,
PATHOLOGY,85097,1,1,rule,Hard Pend Specialty,0,
RADIOLOGY_s,85097,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85175,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85210,0,0,rule,Pend EPL,0,
FACILITY SERVICES,85240,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85240,0,0,rule,Pend EPL,0,
LABORATORY,85240,1,1,rule,low volume,0,
FACILITY SERVICES,85245,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85245,0,0,rule,Pend EPL,0,
LABORATORY,85245,1,1,rule,low volume,0,
SURGERY - GENERAL,85245,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85246,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85246,0,0,rule,Pend EPL,0,
LABORATORY,85246,1,1,rule,low volume,0,
SURGERY - GENERAL,85246,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85247,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85247,0,1,rule,Pend EPL,0,
LABORATORY,85247,1,1,rule,low volume,0,
FACILITY SERVICES,85306,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85306,0,1,rule,Pend EPL,0,
LABORATORY,85306,1,1,rule,low volume,0,
UNK PHYS SPEC,85306,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85347,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,85379,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85379,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,85379,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,85379,1,1,rule,low volume,0,
LABORATORY,85379,0,1,rule,Pend EPL,0,
LABORATORY,85379,1,1,rule,low volume,0,
SURGERY - GENERAL,85379,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85384,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,85384,0,1,rule,Pend EPL,0,
LABORATORY,85384,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,85384,0,1,rule,Pend EPL,0,
UNK PHYS SPEC,85384,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85390,0,0,rule,Pend EPL,0,0
FACILITY SERVICES,85536,0,0,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,85536,0,0,rule,Pend EPL,0,
FACILITY SERVICES,85670,1,1,rule,Hard Pend Specialty,0,
LABORATORY,85670,1,1,rule,low volume,0,
SURGERY - GENERAL,85670,0,1,rule,Pend EPL,0,
FACILITY SERVICES,85732,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,85732,0,1,rule,Pend EPL,0,
LABORATORY,85732,1,1,rule,low volume,0,
FACILITY SERVICES,85810,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,86001,0,1,rule,Pend EPL,0,
LABORATORY,86001,0,1,rule,Pend EPL,0,
LABORATORY,86001,1,1,rule,low volume,0,
PULMONARY DISEASE,86001,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86021,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86021,0,1,rule,Pend EPL,0,
LABORATORY,86021,0,1,rule,Pend EPL,0,
LABORATORY,86021,1,1,rule,low volume,0,
NEPHROLOGY,86021,0,1,rule,Pend EPL,0,0
SURGERY - GENERAL,86021,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,86022,1,1,rule,Hard Pend Specialty,0,
HEMATOLOGY/ONCOLOGY,86022,0,1,rule,Pend EPL,0,
LABORATORY,86022,1,1,rule,low volume,0,
SURGERY - GENERAL,86022,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86023,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,86038,0,1,rule,Pend EPL,0,
INTERNAL MEDICINE,86038,0,1,rule,Pend EPL,0,
LABORATORY,86038,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86039,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86039,0,1,rule,Pend EPL,0,
LABORATORY,86039,1,1,rule,low volume,0,0
NEPHROLOGY,86039,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86147,0,1,rule,Pend EPL,0,
LABORATORY,86147,0,1,rule,Pend EPL,0,
LABORATORY,86147,1,1,rule,low volume,0,
FACILITY SERVICES,86156,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,86157,1,1,rule,Hard Pend Specialty,0,
FACILITY SERVICES,86162,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86162,0,1,rule,Pend EPL,0,
LABORATORY,86162,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86301,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86301,0,0,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86301,1,1,rule,low volume,0,
LABORATORY,86301,0,1,rule,Pend EPL,0,
LABORATORY,86301,1,1,rule,low volume,0,
ONCOLOGY - MEDICAL,86301,0,1,rule,Pend EPL,0,
PHARMACY,86301,1,1,rule,Hard Pend Specialty,0,
SURGERY - GENERAL,86301,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86304,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86304,0,1,rule,Pend EPL,0,0
HEMATOLOGY/ONCOLOGY,86304,1,1,rule,low volume,0,
LABORATORY,86304,0,1,rule,Pend EPL,0,
LABORATORY,86304,1,0,rule,low volume,0,0
ONCOLOGY - GYN,86304,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86317,0,1,rule,Pend EPL,0,
GASTROENTEROLOGY,86317,0,1,rule,Pend EPL,0,
LABORATORY,86317,0,1,rule,Pend EPL,0,
LABORATORY,86317,1,1,rule,low volume,0,
SURGERY - GENERAL,86317,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86318,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86329,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86329,0,1,rule,Pend EPL,0,0
LABORATORY,86329,1,1,rule,low volume,0,
FACILITY SERVICES,86334,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,86334,1,1,rule,Hard Pend Specialty,0,
LABORATORY,86334,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86341,0,1,rule,Pend EPL,0,0
LABORATORY,86341,0,0,rule,Pend EPL,0,0
LABORATORY,86341,1,1,rule,low volume,0,0
FACILITY SERVICES,86355,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86355,0,1,rule,Pend EPL,0,
LABORATORY,86355,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86355,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86356,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86356,0,1,rule,Pend EPL,0,0
LABORATORY,86356,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86356,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86357,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86357,0,1,rule,Pend EPL,0,
LABORATORY,86357,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86357,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86360,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86360,0,1,rule,Pend EPL,0,
LABORATORY,86360,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86360,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86361,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86361,0,1,rule,Pend EPL,0,
LABORATORY,86361,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86361,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86367,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86367,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86367,0,1,rule,Pend EPL,0,0
FACILITY SERVICES,86431,0,1,rule,Pend EPL,0,
LABORATORY,86431,0,1,rule,Pend EPL,0,
LABORATORY,86431,1,1,rule,low volume,0,
RHEUMATOLOGY,86431,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86480,0,1,rule,Pend EPL,0,
FAMILY PRACTICE,86480,1,1,rule,low volume,0,
LABORATORY,86480,0,1,rule,Pend EPL,0,
LABORATORY,86480,1,1,rule,low volume,0,
PATHOLOGY,86480,1,1,rule,Hard Pend Specialty,0,
PULMONARY DISEASE,86480,0,0,rule,Pend EPL,0,
SURGERY - GENERAL,86480,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86593,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86593,0,1,rule,Pend EPL,0,
LABORATORY,86593,1,1,rule,low volume,0,
FACILITY SERVICES,86635,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86635,1,1,rule,Hard Pend Specialty,0,
LABORATORY,86635,0,1,rule,Pend EPL,0,
LABORATORY,86635,1,0,rule,low volume,0,
SURGERY - GENERAL,86635,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86658,0,1,rule,Pend EPL,0,
LABORATORY,86658,1,1,rule,low volume,0,
FACILITY SERVICES,86663,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86677,0,1,rule,Pend EPL,0,
LABORATORY,86677,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86687,0,0,rule,Pend EPL,0,
LABORATORY,86687,0,0,rule,Pend EPL,0,
SURGERY - GENERAL,86687,0,0,rule,Pend EPL,0,
FACILITY SERVICES,86688,0,0,rule,Pend EPL,0,
LABORATORY,86688,0,0,rule,Pend EPL,0,
SURGERY - GENERAL,86688,0,0,rule,Pend EPL,0,
FACILITY SERVICES,86689,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86689,0,1,rule,Pend EPL,0,
LABORATORY,86689,1,1,rule,low volume,0,
SURGERY - CARDIAC,86689,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86695,0,1,rule,Pend EPL,0,
HEMATOLOGY/ONCOLOGY,86695,0,1,rule,Pend EPL,0,
LABORATORY,86695,0,1,rule,Pend EPL,0,
LABORATORY,86695,1,1,rule,low volume,0,
URGENT/IMMEDIATE CARE,86695,1,1,rule,low volume,0,
FACILITY SERVICES,86701,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86701,1,1,rule,Hard Pend Specialty,0,0
FAMILY PRACTICE,86701,1,1,rule,low volume,0,
HEMATOLOGY/ONCOLOGY,86701,0,1,rule,Pend EPL,0,
LABORATORY,86701,1,1,rule,low volume,0,
SURGERY - CARDIAC,86701,0,1,rule,Pend EPL,0,
SURGERY - GENERAL,86701,0,1,rule,Pend EPL,0,
FACILITY SERVICES,86702,0,1,rule,Pend EPL,0,
